Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_deepseek_LLM_Clarity_Rating,oneShot_deepseek_LLM_Completeness_Rating,oneShot_deepseek_LLM_Consistency_Rating,oneShot_deepseek_PSNR,oneShot_deepseek_RMSE,oneShot_deepseek_SAM,oneShot_deepseek_SRE,oneShot_deepseek_SSIM,oneShot_deepseek_UIQ,repo_url,summary_token_count
"boxes, icons_and_arrows",SOA,part,static,apigee_consumer-data-standards-au,y,"technologies, APIs","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,maintainability,apigee/consumer-data-standards-au,"rectangles, icons",google,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5374,0.0149,89.7463,57.5532,0.5754,0.0012,https://github.com/apigee/consumer-data-standards-au/,1357
icons_and_arrows,NA,entire,static,today-real-estate_today-real-estate_front-end,y,technologies,deployment,bi,dependencies,n,y,n,high,n,n,,maintainability,today-real-estate/today-real-estate_front-end,icons,"mysql, google, gradle, spring, java, jsoup, vuejs, kakaomap",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7650,0.0129,89.7735,59.6608,0.7276,,https://github.com/today-real-estate/today-real-estate_front-end/,934
boxes_and_arrows,NA,part,dynamic,mebaysan_Modern-Data-Architecture,y,"technologies, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,y,,maintainability,mebaysan/Modern-Data-Architecture,"rectangles, icons","aws, elasticsearch, postgresql, powerbi, superset, dbt, tableau",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2036,0.0155,89.6428,56.8530,0.5528,,https://github.com/mebaysan/Modern-Data-Architecture/,862
boxes_and_arrows,client-server,entire,static,anjuchamantha_EMonitor,y,"DBs, network_components, devices, devices, servers",connectivity,"uni, bi",communication,n,y,n,high,n,y,IOT,maintainability,anjuchamantha/EMonitor,"rectangles, squares",NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7125,0.0116,89.5396,59.7669,0.6575,-0.0005,https://github.com/anjuchamantha/EMonitor/,1163
boxes,layered,entire,static,zwt-sdk_zwt,y,"APIs, technologies, packages",general,NA,NA,n,n,n,high,n,n,,maintainability,zwt-sdk/zwt,rectangles,"java, android, linux, ios, windows",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.1616,0.0277,82.8757,51.4766,0.4120,,https://github.com/zwt-sdk/zwt/,1062
boxes_and_arrows,"layered, pipes-and-filters",entire,dynamic,YW-Ma_Algorithms-Visualizer,n,"APIs, technologies, DBs, sub-systems",control_flow,"uni, no","control_flow, dependencies",n,y,n,medium,n,y,,maintainability,YW-Ma/Algorithms-Visualizer,"rectangles, cylinders",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9440,0.0127,88.3312,64.5650,0.8079,0.0002,https://github.com/YW-Ma/Algorithms-Visualizer/,1423
boxes_and_arrows,pipes-and-filters,entire,dynamic,alanchn31_Movalytics-Data-Warehouse,y,"technologies, DBs, APIs, steps",data_flow,uni,data_flow,n,y,n,high,n,y,,"maintainability, functional_suitability",alanchn31/Movalytics-Data-Warehouse,"rectangles, icons","aws, apache, kaggle, fred",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3422,0.0136,89.3702,59.7872,0.6805,0.0037,https://github.com/alanchn31/Movalytics-Data-Warehouse/,1158
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",Scientific-Computing-Lab-NRCN_compar,y,"classes, DBs",control_flow,"uni, bi",data_flow,parameters,y,n,low,n,n,,maintainability,Scientific-Computing-Lab-NRCN/compar,"rectangles, circles",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1850,0.0155,89.5611,57.6980,0.5723,-0.0014,https://github.com/Scientific-Computing-Lab-NRCN/compar/,1439
boxes,layered,entire,static,matrix-io_matrix-malos-zwave,y,"technologies, APIs, clients",general,NA,NA,URLs,n,n,medium,n,y,,maintainability,matrix-io/matrix-malos-zwave,rectangles,"python, zmq, javascript, sigma_designs",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.0133,0.0281,89.7271,50.3410,0.3783,,https://github.com/matrix-io/matrix-malos-zwave/,1232
boxes_and_arrows,event-driven,part,"static, dynamic",nikmis_xentrace-analysis,y,"steps, DBs, hardware_components, sub-systems","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,"maintainability, flexibility",nikmis/xentrace-analysis,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.5848,0.0187,86.7611,55.7220,0.5161,,https://github.com/nikmis/xentrace-analysis/,1088
boxes_and_arrows,NA,entire,static,AmnisIO_AmnisIO,y,"clients, technologies",general,uni,dependencies,n,y,y,high,n,y,,maintainability,AmnisIO/AmnisIO,rectangles,"typescript, c, pio",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7068,0.0146,87.6886,60.8979,0.7109,-0.0015,https://github.com/AmnisIO/AmnisIO/,907
boxes,layered,entire,static,bianjieai_tibc,n,"layers, technologies, functions, DBs",general,NA,NA,n,n,n,medium,n,y,blockchain,"maintainability, security",bianjieai/tibc,rectangles,"ethereum, bsc, cosmos, iris, bsn",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5782,0.0166,85.6085,55.5763,0.4848,-0.0087,https://github.com/bianjieai/tibc/,1031
boxes_and_arrows,NA,part,static,sugarlabs_musicblocks-v4-lib,y,"packages, classes",general,uni,"function_calls, dependencies",n,y,n,low,n,n,,maintainability,sugarlabs/musicblocks-v4-lib,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.9831,0.0142,89.3254,61.9417,0.7763,,https://github.com/sugarlabs/musicblocks-v4-lib/,871
boxes_and_arrows,SOA,entire+,static,leopardslab_gocloud,y,"technologies, services","deployment, connectivity","uni, bi",communication,n,y,n,high,n,y,,"maintainability, performance_efficiency",leopardslab/gocloud,"rectangles, squares","aws, google, openstack, azure, ali_cloud",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3306,0.0171,89.6861,63.5262,0.7790,,https://github.com/leopardslab/gocloud/,1468
"boxes, icons_and_arrows",event-driven,part,dynamic,aws-solutions_automated-security-response-on-aws,y,"technologies, DBs, services, functions","security, control_flow, deployment",uni,control_flow,n,y,n,medium,n,y,,security,aws-solutions/automated-security-response-on-aws,"rectangles, squares, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4919,0.0133,88.9950,61.8189,0.7223,-0.0048,https://github.com/aws-solutions/automated-security-response-on-aws/,1287
boxes_and_arrows,SOA,entire,dynamic,codahale_sneaker,n,"servers, technologies","security, deployment",uni,control_flow,n,y,n,high,n,n,,"security, functional_suitability, maintainability",codahale/sneaker,"rectangles, diamonds",aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.2916,0.0544,20.0014,38.2879,0.1054,0.0007,https://github.com/codahale/sneaker/,806
"boxes, icons_and_arrows",client-server,entire,static,emreturgutce_stock-management,y,"DBs, technologies, servers",deployment,"uni, bi","communication, data_flow",URLs,y,n,high,n,y,,maintainability,emreturgutce/stock-management,"rectangles, squares, icons","aws, postgresql, nodejs, redis, react, netlify, heroku",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8485,0.0144,89.7938,62.4451,0.7291,0.0096,https://github.com/emreturgutce/stock-management/,757
boxes_and_arrows,"microservices, publish-subscribe",entire,dynamic,chirgjin_track-my-events,n,"services, clients, technologies, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",chirgjin/track-my-events,"rectangles, cylinders",postgresql,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,40.9180,0.0090,89.9571,63.3399,0.8459,0.0002,https://github.com/chirgjin/track-my-events/,1106
boxes_and_arrows,"client-server, MVC, rest",entire,static,jun108059_Elasticsearch-SpringBoot,y,"clients, servers, DBs, packages, technologies",connectivity,"uni, bi",data_flow,n,y,n,medium,n,y,,maintainability,jun108059/Elasticsearch-SpringBoot,"rectangles, icons","spring, elasticsearch, thymeleaf, mysql",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.3715,0.0170,89.3287,58.2946,0.5868,,https://github.com/jun108059/Elasticsearch-SpringBoot/,924
boxes_and_arrows,NA,part,static,onprem_foundry,n,sub-systems,general,uni,dependencies,n,y,n,high,n,y,,maintainability,onprem/foundry,"rectangles, squares","aws, google",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7942,0.0129,89.6281,60.1304,0.6885,,https://github.com/onprem/foundry/,1085
boxes_and_arrows,layered,entire,"static, dynamic",philipplackner_IvyWallet-PL_Version,y,"layers, sub-systems, functions, DBs",control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",philipplackner/IvyWallet-PL_Version,rectangles,NA,Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/philipplackner/IvyWallet-PL_Version/,1368
boxes_and_arrows,NA,part,dynamic,michaelsrichter_azure.owasp,y,sub-systems,"deployment, performance",uni,data_flow,n,y,n,high,n,n,,performance_efficiency,michaelsrichter/azure.owasp,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4018,0.0170,89.9051,56.7187,0.6259,,https://github.com/michaelsrichter/azure.owasp/,1430
icons_and_arrows,SOA,entire,dynamic,IBM_vpc-flowlogs-log-analysis,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/vpc-flowlogs-log-analysis,icons,"ibm, nodejs",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.9076,0.0402,52.6618,50.5928,0.4274,-0.0005,https://github.com/IBM/vpc-flowlogs-log-analysis/,751
boxes_and_arrows,"client-server, MVC",entire,static,NatalieLouise91_T3A2-Skemi-FrontEnd,y,"steps, sub-systems",general,uni,data_flow,n,y,n,medium,n,y,,maintainability,NatalieLouise91/T3A2-Skemi-FrontEnd,rectangles,"netlify, heroku",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8490,0.0128,88.9351,60.9988,0.7246,-0.0011,https://github.com/NatalieLouise91/T3A2-Skemi-FrontEnd/,920
boxes_and_arrows,MVVM,entire,static,kerollesroshdi_Cima-,n,packages,general,uni,data_flow,n,y,n,medium,n,n,,maintainability,kerollesroshdi/Cima-,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.1851,0.0550,17.2562,38.3247,0.1101,,https://github.com/kerollesroshdi/Cima-/,1379
boxes_and_arrows,clean,entire,static,takoko55_LectureLens,y,"DBs, packages",general,uni,"dependencies, control_flow",n,y,n,high,y,y,,maintainability,takoko55/LectureLens,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.5168,0.0421,89.2175,45.0233,0.3420,,https://github.com/takoko55/LectureLens/,915
boxes_and_arrows,NA,entire,static,googleinterns_typescript-flag-upgrade,n,packages,general,bi,NA,n,y,n,high,n,n,,maintainability,googleinterns/typescript-flag-upgrade,circles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0318,0.0177,1.3695,37.1060,0.7621,-0.0006,https://github.com/googleinterns/typescript-flag-upgrade/,800
boxes_and_arrows,NA,entire+,dynamic,solenya-group_solenya,y,"DBs, network_components",data_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,solenya-group/solenya,"triangles, pentagons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2072,0.0123,88.9143,61.9130,0.7807,,https://github.com/solenya-group/solenya/,969
"boxes, boxes_and_arrows",layered,entire,static,23fa-cpsc490_canyough,n,"layers, packages",general,uni,NA,n,y,n,medium,n,y,,maintainability,23fa-cpsc490/canyough,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8809,0.0143,89.3495,59.6510,0.5411,-0.0016,https://github.com/23fa-cpsc490/canyough/,1221
boxes_and_arrows,NA,entire,static,Resurgence-VM-Development_Resurgence,y,"sub-systems, packages",general,bi,dependencies,n,y,n,medium,n,y,,maintainability,Resurgence-VM-Development/Resurgence,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2503,0.0137,89.5820,57.7672,0.5122,0.0021,https://github.com/Resurgence-VM-Development/Resurgence/,981
boxes,"layered, microservices",entire+,static,thangchung_practical-dapr,y,"layers, packages, technologies",general,NA,NA,n,n,n,high,n,n,,maintainability,thangchung/practical-dapr,rectangles,"graphql, kubernetes, docker, c#, elasticsearch",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2736,0.0486,30.1035,53.4073,0.0686,,https://github.com/thangchung/practical-dapr/,808
icons_and_arrows,client-server,entire+,dynamic,YashwantChauhan_SDL,y,"DBs, clients, servers, steps",control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,YashwantChauhan/SDL,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2376,0.0137,89.4407,59.4801,0.6625,-0.0021,https://github.com/YashwantChauhan/SDL/,1039
icons_and_arrows,NA,part,static,hrchlhck_k8s-bigdata,y,containers,deployment,uni,dependencies,n,y,n,medium,y,y,,performance_efficiency,hrchlhck/k8s-bigdata,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,NA,NA,NA,NA,NA,NA,https://github.com/hrchlhck/k8s-bigdata/,1263
boxes_and_arrows,NA,entire+,dynamic,XenitAB_git-auth-proxy,y,"technologies, sub-systems","security, deployment",uni,data_flow,n,y,n,high,n,n,,"security, performance_efficiency",XenitAB/git-auth-proxy,"rectangles, icons","azure, github",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9149,0.0113,89.8059,57.5576,0.6451,0.0026,https://github.com/XenitAB/git-auth-proxy/,1006
boxes,NA,entire,static,ut-ims-robotics_robotont,y,"sub-systems, packages",general,NA,NA,n,n,n,medium,n,y,"ros, iot",maintainability,ut-ims-robotics/robotont,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.1416,0.0175,88.5650,54.9851,0.4100,,https://github.com/ut-ims-robotics/robotont/,1034
boxes_and_arrows,microservices,entire,dynamic,anvasquezre_sabiduria_asegurada_experiments,y,"containers, technologies, DBs","deployment, connectivity",bi,communication,n,y,y,medium,n,y,,performance_efficiency,anvasquezre/sabiduria_asegurada_experiments,"rectangles, icons","qdrant, azuer, chainlit, fastapi, docker",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6116,0.0148,87.5690,57.3820,0.6301,-0.0025,https://github.com/anvasquezre/sabiduria_asegurada_experiments/,1077
boxes_and_arrows,client-server,entire,dynamic,jzyong_GameServer4g,y,"servers, clients, network_components, packages","deployment, connectivity",bi,communication,n,y,n,medium,y,y,,performance_efficiency,jzyong/GameServer4g,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.8913,0.0569,12.5712,37.3206,0.0750,,https://github.com/jzyong/GameServer4g/,1046
boxes,NA,entire,static,argrecsys_argael,n,"packages, DBs, data",general,bi,data_flow,n,y,n,medium,n,y,,maintainability,argrecsys/argael,rectangles,java,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,27.7800,0.0408,50.3523,54.0218,0.3956,0.0004,https://github.com/argrecsys/argael/,1443
icons_and_arrows,NA,entire+,dynamic,terrenjpeterson_javawatch,y,"sub-systems, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,y,iot,"performance_efficiency, functional_suitability",terrenjpeterson/javawatch,"icons, rectangles","python, aws, raspberry",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.6562,0.0165,88.3387,57.8686,0.6135,,https://github.com/terrenjpeterson/javawatch/,875
icons_and_arrows,NA,part,dynamic,Crazy0416_KnowledgeGraph,y,"technologies, DBs, clients",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Crazy0416/KnowledgeGraph,icons,"cayley, mongodb, nodejs, elasticsearch",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7596,0.0129,88.6198,62.7993,0.8248,0.0007,https://github.com/Crazy0416/KnowledgeGraph/,891
UML,NA,part,static,Taymindis_fcgi-function,n,"functions, classes",control_flow,uni,control_flow,n,y,n,low,n,y,,"functional_suitability, maintainability",Taymindis/fcgi-function,rectangles,"c, c++",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.9084,0.0506,88.6245,37.8294,0.1926,0.0006,https://github.com/Taymindis/fcgi-function/,1004
icons_and_arrows,NA,entire+,dynamic,McOrts_taller-iot-sensor_radiactividad,y,"technologies, DBs, clients, hardware_components",deployment,bi,communication,snapshots,y,n,high,n,y,,"performance_efficiency, flexibility",McOrts/taller-iot-sensor_radiactividad,icons,"mqtt, docker, telegram, twitter, node-red",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3955,0.0170,89.7150,57.7956,0.6670,0.0018,https://github.com/McOrts/taller-iot-sensor_radiactividad/,821
icons_and_arrows,"client-server, event-driven",entire+,dynamic,UBC-CIC_Student-Connect-App,n,"technologies, clients, DBs",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",UBC-CIC/Student-Connect-App,icons,"aws, react",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5836,0.0148,89.5524,63.0252,0.7909,-0.0011,https://github.com/UBC-CIC/Student-Connect-App/,1061
"icons_and_arrows, boxes","event-driven, SOA, layered",entire+,dynamic,xydo1990_mlops_zoomcamp_homework,y,"technologies, DBs, containers",control_flow,bi,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",xydo1990/mlops_zoomcamp_homework,"icons, rectangles","python, jupyter, aws, docker, prometheus, grafana, postgresql, nginx, mongodb, flask",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.6826,0.0131,89.2714,61.3055,0.7277,,https://github.com/xydo1990/mlops_zoomcamp_homework/,1099
icons_and_arrows,client-server,entire+,dynamic,UnoSD_UnoCash,y,"technologies, clients","deployment, control_flow",uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",UnoSD/UnoCash,icons,"azure, github, pulumi",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.5334,0.0149,89.0107,59.1117,0.6496,0.0029,https://github.com/UnoSD/UnoCash/,1355
icons_and_arrows,event-driven,entire,static,david3107_squatm3gator,y,"technologies, clients",security,bi,dependencies,snapshots,y,n,high,n,n,,security,david3107/squatm3gator,icons,"socket.io, redis",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.0962,0.0176,88.5499,59.4486,0.7041,0.0008,https://github.com/david3107/squatm3gator/,1318
boxes_and_arrows,NA,entire+,static,iceland2k14_Kangrand,y,"clients, servers, DBs",deployment,bi,communication,n,y,n,high,n,n,,flexibility,iceland2k14/Kangrand,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8320,0.0162,89.8283,56.8180,0.5643,-0.0028,https://github.com/iceland2k14/Kangrand/,1224
boxes_and_arrows,NA,part,static,SV-97_HumanResourceMachine,n,sub-systems,general,uni,control_flow,n,y,n,medium,n,n,,maintainability,SV-97/HumanResourceMachine,ellipses,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8195,0.0129,89.0502,58.6478,0.6551,-0.0000,https://github.com/SV-97/HumanResourceMachine/,985
boxes_and_arrows,microservices,entire+,dynamic,caraml-dev_turing,y,"services, sub-systems, DBs, containers",control_flow,uni,control_flow,n,y,y,medium,n,y,,"functional_suitability, maintainability",caraml-dev/turing,rectangles,kubernetes,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.6007,0.0117,89.9230,64.9234,0.8179,-0.0038,https://github.com/caraml-dev/turing/,1004
icons_and_arrows,event-driven,part,static,doitintl_banias,y,"technologies, containers","deployment, control_flow",uni,control_flow,n,y,n,high,n,y,,"flexibility, performance_efficiency",doitintl/banias,"icons, rectangles","google, go, kubernetes",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6214,0.0104,89.7033,60.1227,0.7125,-0.0017,https://github.com/doitintl/banias/,823
"icons_and_arrows, boxes","publish-subscribe, client-server",entire,dynamic,numerica-ideas_ni-microservice-nodejs,y,"network_components, technologies, containers, hardware_components, clients, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,"flexibility, performance_efficiency",numerica-ideas/ni-microservice-nodejs,"icons, rectangles",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0720,0.0157,89.7017,58.7826,0.5630,,https://github.com/numerica-ideas/ni-microservice-nodejs/,1037
boxes_and_arrows,NA,entire,"static, dynamic",gabrielfarah_OpenHub,y,"packages, DBs",general,uni,control_flow,n,y,n,medium,n,n,,maintainability,gabrielfarah/OpenHub,"rectangles, icons, cylinders","rabbitmq, python, javascript, php, github",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9806,0.0564,26.6820,51.5102,0.0082,0.0008,https://github.com/gabrielfarah/OpenHub/,1024
boxes_and_arrows,client-server,entire+,static,elpapi42_deep-deblurring,y,sub-systems,general,uni,communication,n,y,n,high,n,n,,maintainability,elpapi42/deep-deblurring,"rectangles, 3d",google,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.9834,0.0142,89.7137,61.5772,0.6983,0.0010,https://github.com/ElPapi42/deep-deblurring/,761
icons_and_arrows,event-driven,entire,dynamic,jkahn117_aws-news,y,"technologies, DBs, steps",general,bi,"dependencies, communication",n,y,n,medium,n,y,,maintainability,jkahn117/aws-news,icons,aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4645,0.0134,89.0479,62.0156,0.7407,0.0007,https://github.com/jkahn117/aws-news/,965
boxes_and_arrows,client-server,part,static,meshery_meshery,y,"clients, servers, containers, sub-systems",deployment,bi,communication,text,y,n,medium,n,y,,"flexibility, performance_efficiency",meshery/meshery,"rectangles, icons","docker, kubernetes",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.5507,0.0374,14.6339,54.6957,0.0172,,https://github.com/meshery/meshery/,1162
UML,NA,part,dynamic,duanfuxiang0_MysqlMigrationTool,n,"DBs, classes",control_flow,uni,control_flow,n,y,n,low,n,n,,"maintainability, functional_suitability",duanfuxiang0/MysqlMigrationTool,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7815,0.0103,89.9442,61.9926,0.8150,-0.0027,https://github.com/duanfuxiang0/MysqlMigrationTool/,925
boxes_and_arrows,client-server,entire,static,Connor1996_Pokemon,n,classes,general,no,dependencies,n,y,n,low,n,n,,maintainability,Connor1996/Pokemon,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.5797,0.0296,2.4359,43.1150,0.5833,-0.0007,https://github.com/Connor1996/Pokemon/,1096
UML,client-server,part,dynamic,awslabs_benchmark-ai,n,"clients, technologies",control_flow,uni,data_flow,n,y,n,medium,n,n,,"maintainability, functional_suitability",awslabs/benchmark-ai,rectangles,aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8732,0.0161,86.9243,56.0888,0.4546,0.0059,https://github.com/awslabs/benchmark-ai/,1321
icons_and_arrows,NA,entire,dynamic,gaiax_fLibra,y,"technologies, clients",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,gaiax/fLibra,icons,"ethereum, nodejs, firestore, aws, elasticsearch",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.8217,0.0144,89.3634,56.8998,0.6574,-0.0001,https://github.com/gaiax/fLibra/,972
boxes,SOA,entire+,static,oracle-quickstart_oci-confluent,n,"packages, containers, network_components","deployment, security",NA,NA,n,n,n,medium,y,y,,"flexibility, performance_efficiency, reliability, security",oracle-quickstart/oci-confluent,rectangles,"confluent, oracle",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3270,0.0216,89.7748,58.2178,0.5388,,https://github.com/oracle-quickstart/oci-confluent/,887
icons_and_arrows,client-server,entire,dynamic,jlhood_retweet-leaderboard,y,"technologies, clients",control_flow,uni,control_flow,n,y,n,high,n,y,,functional_suitability,jlhood/retweet-leaderboard,icons,"aws, twitter",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3964,0.0135,89.2921,56.8971,0.6221,0.0016,https://github.com/jlhood/retweet-leaderboard/,1088
boxes_and_arrows,"layered, SOA",entire,static,bluekiri_mlab,y,"DBs, clients, servers, sub-systems",general,uni,communication,n,y,n,high,n,n,,maintainability,bluekiri/mlab,"rectangles, icons",mongodb,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9844,0.0142,88.5765,56.9164,0.5123,0.0306,https://github.com/bluekiri/mlab/,1501
boxes_and_arrows,client-server,entire+,dynamic,mcuking_offline-package-webpack-plugin,y,"packages, technologies",control_flow,uni,control_flow,text,y,n,medium,n,n,,functional_suitability,mcuking/offline-package-webpack-plugin,rectangles,jenkins,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.1862,0.0310,89.7943,59.8550,0.6093,,https://github.com/mcuking/offline-package-webpack-plugin/,701
boxes_and_arrows,NA,entire,static,codestates_BEB-05-LeeSea,n,"layers, sub-systems, packages, classes",general,uni,communication,n,y,n,high,n,n,,maintainability,codestates/BEB-05-LeeSea,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.8994,0.0160,89.8768,59.4725,0.6987,0.0006,https://github.com/codestates/BEB-05-LeeSea/,1151
icons_and_arrows,event-driven,part,dynamic,LouisvilleMetro_WazeCCPProcessor,y,"functions, data",control_flow,uni,control_flow,text,y,n,low,n,n,,functional_suitability,LouisvilleMetro/WazeCCPProcessor,icons,aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.7985,0.0129,89.5835,61.5879,0.7227,0.0012,https://github.com/LouisvilleMetro/WazeCCPProcessor/,954
icons_and_arrows,publish-subscribe,part,dynamic,KMuthumala_ESP32-BLE-Beaconing,y,"hardware_components, clients, sub-systems",connectivity,bi,communication,n,y,n,high,n,n,iot,flexibility,KMuthumala/ESP32-BLE-Beaconing,icons,mqtt,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8920,0.0127,89.6911,58.2721,0.6666,-0.0031,https://github.com/KMuthumala/ESP32-BLE-Beaconing/,1022
boxes_and_arrows,NA,entire,static,DecenterApps_ResistanceProtocol,y,"packages, layers",general,uni,dependencies,n,y,n,medium,n,y,"Even if different colours are used, they have little to no semantic meaning (e.g., ofte they depict just all elements belonging to the same layer, which is already represented by grouping elements of the same layer in a box)",maintainability,DecenterApps/ResistanceProtocol,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4006,0.0120,88.6882,62.0662,0.5854,0.0020,https://github.com/DecenterApps/ResistanceProtocol/,1077
